email,username,first_name,last_name,password
feofan@example.com,feofanix,Феофан,Криптожиратор,qwerty12345
melodia@example.com,melody88,Мелодия,Звездоплясова,melody!pass
agafya@example.com,agafya_neo,Агафья,Кибервихрь,agafya2024
vseslav@example.com,vseslav_ai,Всеслав,Нейросонетов,vseslav_ai
bozhedar@example.com,bozhedar42,Божедар,Квантопрыгов,42quantum
zlatomir@example.com,zlat_vr,Zлатомир,Виртуалкин,zlatVR2024
radomir@example.com,radomir_meow,Радомир,Котопультов,meowRad123
miroslava@example.com,miroblock,Мирослава,Блокчейнова,blockMiro!
izyaslav@example.com,izya_phoenix,Изяслав,Фениксов,phoenixIzya
veselina@example.com,veselina_meta,Веселина,Метавселенская,metaVeselina
